activated_factor,q_message_value
f1012,9177299670487483645958967108042752.000000
f1015,7367576758996228348837021758783488.000000
f111,8865714573123156189456716967968768.000000
f1112,9702655915238728678273628376137728.000000
f1115,7892933003747474534073187633725440.000000
f112,10553203954239044069385944820613120.000000
f114,7970604494552130842046688229588992.000000
f115,8743481042747792231028513291894784.000000
f118,8873968082900398301831884844302336.000000
f1213,9448225307839924452339398167494656.000000
f1214,8807545836667704483785104244604928.000000
f1217,9070021663759368041278165454159872.000000
f1218,9710909425015973096491805466165248.000000
f1219,7471768360150454329905511307149312.000000
f13,9584548973734223874337020823207936.000000
f1314,6865625848153013530843150790164480.000000
f1317,7128101675244675935414707392872448.000000
f1318,7768989436501277531863833584336896.000000
f1320,6187414636982859464980123447459840.000000
f1415,6997822925176451492506168109039616.000000
f15,6972556339759299966316691993919488.000000
f1516,5823481574676017965156861829185536.000000
f1517,7260298752268115049999229318594560.000000
f1620,4372393815310209427841037065256960.000000
f1819,5792532488811807409429946723991552.000000
f1820,6450098754158912720818549173518336.000000
f19,9378724260745613997971897157943296.000000
f210,6045692545678892499421309781934080.000000
f211,6571048790430145602186503297957888.000000
f23,7289883191041213287066807153197056.000000
f27,5330117487483927329787612225339392.000000
f311,8734000934733910789067713592426496.000000
f312,10421490315849798668996941445070848.000000
f313,8479570327335107716054987990630400.000000
f318,8742254444511154054364386075607040.000000
f38,6520641928687576389624935022067712.000000
f39,9247010622356369750504398389248000.000000
f417,5886256980215867789644934238175232.000000
f418,6527144741472472844858574250180608.000000
f47,5277959928749012460084515301228544.000000
f49,7031900919317687388077081956974592.000000
f515,5999774770383620616776171873370112.000000
f56,5328534114016197350769706938662912.000000
f610,6696336102628806235752061430923264.000000
f611,7221692347380057032674245733253120.000000
f612,8909181728495947218446482799591424.000000
f616,5152240918308597581454158411595776.000000
f67,5980761044433838760275354660634624.000000
f715,6652001700801262026281819595341824.000000
f79,7287244918799084946146708068237312.000000
f810,5276451283325256754900942257651712.000000
f816,3732356099005045218299277721206784.000000
f910,8002819976994053574544919445372928.000000
f912,10215665602861188792631817779806208.000000
f917,7895541970265940275707127005184000.000000
f920,6954854932004129569880066094006272.000000
