variant_idx,pct_random,engine,iteration,cost
3,30,DampingEngine,0,153868.0
3,30,DampingEngine,1,153868.0
3,30,DampingEngine,2,153868.0
3,30,DampingEngine,3,153868.0
3,30,DampingEngine,4,153868.0
3,30,DampingEngine,5,153868.0
3,30,DampingEngine,6,153868.0
3,30,DampingEngine,7,153868.0
3,30,DampingEngine,8,153868.0
3,30,DampingEngine,9,153868.0
3,30,DampingEngine,10,153868.0
3,30,DampingEngine,11,153868.0
3,30,DampingEngine,12,153868.0
3,30,DampingEngine,13,153868.0
3,30,DampingEngine,14,153868.0
3,30,DampingEngine,15,153868.0
3,30,DampingEngine,16,153868.0
3,30,DampingEngine,17,153868.0
3,30,DampingEngine,18,153868.0
3,30,DampingEngine,19,153868.0
3,30,DampingEngine,20,153868.0
3,30,DampingEngine,21,153868.0
3,30,DampingEngine,22,153868.0
3,30,DampingEngine,23,153868.0
3,30,DampingEngine,24,153868.0
3,30,DampingEngine,25,153868.0
3,30,DampingEngine,26,153868.0
3,30,DampingEngine,27,153868.0
3,30,DampingEngine,28,153868.0
3,30,DampingEngine,29,153868.0
3,30,DampingEngine,30,153868.0
3,30,DampingEngine,31,153868.0
3,30,DampingEngine,32,153868.0
3,30,DampingEngine,33,153868.0
3,30,DampingEngine,34,153868.0
3,30,DampingEngine,35,153868.0
3,30,DampingEngine,36,153868.0
