figure_id,case_name,cycle_size,example_index,seed,iteration,series_key,variable_name,tracked_kind,tracked_value,belief
figure_5a,consistent_no_tail,9,0,900042,0,x1_route,x1,route,0,2.0
figure_5a,consistent_no_tail,9,0,900042,1,x1_route,x1,route,0,2.0
figure_5a,consistent_no_tail,9,0,900042,2,x1_route,x1,route,0,2.01
figure_5a,consistent_no_tail,9,0,900042,3,x1_route,x1,route,0,2.03
figure_5a,consistent_no_tail,9,0,900042,4,x1_route,x1,route,0,2.0597
figure_5a,consistent_no_tail,9,0,900042,5,x1_route,x1,route,0,2.0986000000000002
figure_5a,consistent_no_tail,9,0,900042,6,x1_route,x1,route,0,2.146076
figure_5a,consistent_no_tail,9,0,900042,7,x1_route,x1,route,0,2.2014367999999997
figure_5a,consistent_no_tail,9,0,900042,8,x1_route,x1,route,0,2.26396558
figure_5a,consistent_no_tail,9,0,900042,9,x1_route,x1,route,0,2.3329495379999994
figure_5a,consistent_no_tail,9,0,900042,10,x1_route,x1,route,0,2.4077002665
figure_5a,consistent_no_tail,9,0,900042,11,x1_route,x1,route,0,2.4875670424899994
figure_5a,consistent_no_tail,9,0,900042,12,x1_route,x1,route,0,2.5719447809039995
figure_5a,consistent_no_tail,9,0,900042,13,x1_route,x1,route,0,2.6602780465086004
figure_5a,consistent_no_tail,9,0,900042,14,x1_route,x1,route,0,2.7520622247208406
figure_5a,consistent_no_tail,9,0,900042,15,x1_route,x1,route,0,2.846842709379156
figure_5a,consistent_no_tail,9,0,900042,16,x1_route,x1,route,0,2.9442127674216954
figure_5a,consistent_no_tail,9,0,900042,17,x1_route,x1,route,0,3.0438105800188215
figure_5a,consistent_no_tail,9,0,900042,18,x1_route,x1,route,0,3.1453158310290097
figure_5a,consistent_no_tail,9,0,900042,19,x1_route,x1,route,0,3.248446111511667
figure_5a,consistent_no_tail,9,0,900042,20,x1_route,x1,route,0,3.3529533289299343
figure_5a,consistent_no_tail,9,0,900042,21,x1_route,x1,route,0,3.4586202477225134
figure_5a,consistent_no_tail,9,0,900042,22,x1_route,x1,route,0,3.5652572407832994
figure_5a,consistent_no_tail,9,0,900042,23,x1_route,x1,route,0,3.672699296224984
figure_5a,consistent_no_tail,9,0,900042,24,x1_route,x1,route,0,3.780803298221878
figure_5a,consistent_no_tail,9,0,900042,25,x1_route,x1,route,0,3.8894455827193366
figure_5a,consistent_no_tail,9,0,900042,26,x1_route,x1,route,0,3.9985197566919917
figure_5a,consistent_no_tail,9,0,900042,27,x1_route,x1,route,0,4.107934762053592
figure_5a,consistent_no_tail,9,0,900042,28,x1_route,x1,route,0,4.217613161143223
figure_5a,consistent_no_tail,9,0,900042,29,x1_route,x1,route,0,4.327489619027501
figure_5a,consistent_no_tail,9,0,900042,30,x1_route,x1,route,0,4.437509557940453
figure_5a,consistent_no_tail,9,0,900042,31,x1_route,x1,route,0,4.547627960460579
figure_5a,consistent_no_tail,9,0,900042,32,x1_route,x1,route,0,4.657808300054655
figure_5a,consistent_no_tail,9,0,900042,33,x1_route,x1,route,0,4.76802158006307
figure_5a,consistent_no_tail,9,0,900042,34,x1_route,x1,route,0,4.878245464811048
figure_5a,consistent_no_tail,9,0,900042,35,x1_route,x1,route,0,4.988463489123969
figure_5a,consistent_no_tail,9,0,900042,36,x1_route,x1,route,0,5.098664334978373
figure_5a,consistent_no_tail,9,0,900042,37,x1_route,x1,route,0,5.208841166253279
figure_5a,consistent_no_tail,9,0,900042,38,x1_route,x1,route,0,5.3189910145126795
figure_5a,consistent_no_tail,9,0,900042,39,x1_route,x1,route,0,5.42911421042942
figure_5a,consistent_no_tail,9,0,900042,40,x1_route,x1,route,0,5.539213856851807
figure_5a,consistent_no_tail,9,0,900042,41,x1_route,x1,route,0,5.6492953406295525
figure_5a,consistent_no_tail,9,0,900042,42,x1_route,x1,route,0,5.759365881176407
figure_5a,consistent_no_tail,9,0,900042,43,x1_route,x1,route,0,5.869434114380185
figure_5a,consistent_no_tail,9,0,900042,44,x1_route,x1,route,0,5.979509710906813
figure_5a,consistent_no_tail,9,0,900042,45,x1_route,x1,route,0,6.089603028214335
figure_5a,consistent_no_tail,9,0,900042,46,x1_route,x1,route,0,6.1997247957259685
figure_5a,consistent_no_tail,9,0,900042,47,x1_route,x1,route,0,6.30988583263653
figure_5a,consistent_no_tail,9,0,900042,48,x1_route,x1,route,0,6.420096797770528
figure_5a,consistent_no_tail,9,0,900042,49,x1_route,x1,route,0,6.530367970795819
figure_5a,consistent_no_tail,9,0,900042,0,x2_route,x2,route,0,0.0
figure_5a,consistent_no_tail,9,0,900042,1,x2_route,x2,route,0,0.29999999999999993
figure_5a,consistent_no_tail,9,0,900042,2,x2_route,x2,route,0,0.5799999999999998
figure_5a,consistent_no_tail,9,0,900042,3,x2_route,x2,route,0,0.8409999999999997
figure_5a,consistent_no_tail,9,0,900042,4,x2_route,x2,route,0,1.0841999999999996
figure_5a,consistent_no_tail,9,0,900042,5,x2_route,x2,route,0,1.3109099999999996
figure_5a,consistent_no_tail,9,0,900042,6,x2_route,x2,route,0,1.5224829999999998
figure_5a,consistent_no_tail,9,0,900042,7,x2_route,x2,route,0,1.7202663999999996
figure_5a,consistent_no_tail,9,0,900042,8,x2_route,x2,route,0,1.9055679399999996
figure_5a,consistent_no_tail,9,0,900042,9,x2_route,x2,route,0,2.0796329709999997
figure_5a,consistent_no_tail,9,0,900042,10,x2_route,x2,route,0,2.2436304150999993
figure_5a,consistent_no_tail,9,0,900042,11,x2_route,x2,route,0,2.3986452621199996
figure_5a,consistent_no_tail,9,0,900042,12,x2_route,x2,route,0,2.545675868408
figure_5a,consistent_no_tail,9,0,900042,13,x2_route,x2,route,0,2.6856346776379
figure_5a,consistent_no_tail,9,0,900042,14,x2_route,x2,route,0,2.81935128036814
figure_5a,consistent_no_tail,9,0,900042,15,x2_route,x2,route,0,2.9475769756840458
figure_5a,consistent_no_tail,9,0,900042,16,x2_route,x2,route,0,3.070990200791935
figure_5a,consistent_no_tail,9,0,900042,17,x2_route,x2,route,0,3.190202358949815
figure_5a,consistent_no_tail,9,0,900042,18,x2_route,x2,route,0,3.3057637080988127
figure_5a,consistent_no_tail,9,0,900042,19,x2_route,x2,route,0,3.4181690769758557
figure_5a,consistent_no_tail,9,0,900042,20,x2_route,x2,route,0,3.527863256792809
figure_5a,consistent_no_tail,9,0,900042,21,x2_route,x2,route,0,3.6352459786985287
figure_5a,consistent_no_tail,9,0,900042,22,x2_route,x2,route,0,3.7406764336443423
figure_5a,consistent_no_tail,9,0,900042,23,x2_route,x2,route,0,3.8444773249351627
figure_5a,consistent_no_tail,9,0,900042,24,x2_route,x2,route,0,3.946938467226092
figure_5a,consistent_no_tail,9,0,900042,25,x2_route,x2,route,0,4.048319961188104
figure_5a,consistent_no_tail,9,0,900042,26,x2_route,x2,route,0,4.148854982337566
figure_5a,consistent_no_tail,9,0,900042,27,x2_route,x2,route,0,4.248752227114434
figure_5a,consistent_no_tail,9,0,900042,28,x2_route,x2,route,0,4.348198060442449
figure_5a,consistent_no_tail,9,0,900042,29,x2_route,x2,route,0,4.447358407714806
figure_5a,consistent_no_tail,9,0,900042,30,x2_route,x2,route,0,4.546380431220438
figure_5a,consistent_no_tail,9,0,900042,31,x2_route,x2,route,0,4.645394027086842
figure_5a,consistent_no_tail,9,0,900042,32,x2_route,x2,route,0,4.744513174347064
figure_5a,consistent_no_tail,9,0,900042,33,x2_route,x2,route,0,4.8438371631024815
figure_5a,consistent_no_tail,9,0,900042,34,x2_route,x2,route,0,4.943451724211286
figure_5a,consistent_no_tail,9,0,900042,35,x2_route,x2,route,0,5.0434300786668445
figure_5a,consistent_no_tail,9,0,900042,36,x2_route,x2,route,0,5.143833920957787
figure_5a,consistent_no_tail,9,0,900042,37,x2_route,x2,route,0,5.244714347290195
figure_5a,consistent_no_tail,9,0,900042,38,x2_route,x2,route,0,5.346112736630127
figure_5a,consistent_no_tail,9,0,900042,39,x2_route,x2,route,0,5.448061590092051
figure_5a,consistent_no_tail,9,0,900042,40,x2_route,x2,route,0,5.550585332234647
figure_5a,consistent_no_tail,9,0,900042,41,x2_route,x2,route,0,5.653701076294914
figure_5a,consistent_no_tail,9,0,900042,42,x2_route,x2,route,0,5.757419354250695
figure_5a,consistent_no_tail,9,0,900042,43,x2_route,x2,route,0,5.861744811801827
figure_5a,consistent_no_tail,9,0,900042,44,x2_route,x2,route,0,5.966676867850767
figure_5a,consistent_no_tail,9,0,900042,45,x2_route,x2,route,0,6.072210337795023
figure_5a,consistent_no_tail,9,0,900042,46,x2_route,x2,route,0,6.17833601986897
figure_5a,consistent_no_tail,9,0,900042,47,x2_route,x2,route,0,6.285041243847759
figure_5a,consistent_no_tail,9,0,900042,48,x2_route,x2,route,0,6.392310381612143
figure_5a,consistent_no_tail,9,0,900042,49,x2_route,x2,route,0,6.500125319335393
figure_5a,consistent_no_tail,9,0,900042,0,x3_route,x3,route,0,1.0
figure_5a,consistent_no_tail,9,0,900042,1,x3_route,x3,route,0,1.1
figure_5a,consistent_no_tail,9,0,900042,2,x3_route,x3,route,0,1.21
figure_5a,consistent_no_tail,9,0,900042,3,x3_route,x3,route,0,1.3279999999999998
figure_5a,consistent_no_tail,9,0,900042,4,x3_route,x3,route,0,1.4522
figure_5a,consistent_no_tail,9,0,900042,5,x3_route,x3,route,0,1.581
figure_5a,consistent_no_tail,9,0,900042,6,x3_route,x3,route,0,1.712996
figure_5a,consistent_no_tail,9,0,900042,7,x3_route,x3,route,0,1.8469727999999999
figure_5a,consistent_no_tail,9,0,900042,8,x3_route,x3,route,0,1.9818943299999998
figure_5a,consistent_no_tail,9,0,900042,9,x3_route,x3,route,0,2.116892162
figure_5a,consistent_no_tail,9,0,900042,10,x3_route,x3,route,0,2.2512527750999998
figure_5a,consistent_no_tail,9,0,900042,11,x3_route,x3,route,0,2.3844040646899995
figure_5a,consistent_no_tail,9,0,900042,12,x3_route,x3,route,0,2.5159015099769997
figure_5a,consistent_no_tail,9,0,900042,13,x3_route,x3,route,0,2.6454143424291
figure_5a,consistent_no_tail,9,0,900042,14,x3_route,x3,route,0,2.7727119921678103
figure_5a,consistent_no_tail,9,0,900042,15,x3_route,x3,route,0,2.8976510304459087
figure_5a,consistent_no_tail,9,0,900042,16,x3_route,x3,route,0,3.020162774273344
figure_5a,consistent_no_tail,9,0,900042,17,x3_route,x3,route,0,3.1402416738920484
figure_5a,consistent_no_tail,9,0,900042,18,x3_route,x3,route,0,3.257934564859182
figure_5a,consistent_no_tail,9,0,900042,19,x3_route,x3,route,0,3.3733308335606536
figure_5a,consistent_no_tail,9,0,900042,20,x3_route,x3,route,0,3.4865535175518954
figure_5a,consistent_no_tail,9,0,900042,21,x3_route,x3,route,0,3.5977513396820724
figure_5a,consistent_no_tail,9,0,900042,22,x3_route,x3,route,0,3.707091656962233
figure_5a,consistent_no_tail,9,0,900042,23,x3_route,x3,route,0,3.814754291057591
figure_5a,consistent_no_tail,9,0,900042,24,x3_route,x3,route,0,3.92092619661216
figure_5a,consistent_no_tail,9,0,900042,25,x3_route,x3,route,0,4.025796915875047
figure_5a,consistent_no_tail,9,0,900042,26,x3_route,x3,route,0,4.12955476285354
figure_5a,consistent_no_tail,9,0,900042,27,x3_route,x3,route,0,4.2323836770701195
figure_5a,consistent_no_tail,9,0,900042,28,x3_route,x3,route,0,4.3344606855904555
figure_5a,consistent_no_tail,9,0,900042,29,x3_route,x3,route,0,4.435953911998766
figure_5a,consistent_no_tail,9,0,900042,30,x3_route,x3,route,0,4.537021072145125
figure_5a,consistent_no_tail,9,0,900042,31,x3_route,x3,route,0,4.6378083985315195
figure_5a,consistent_no_tail,9,0,900042,32,x3_route,x3,route,0,4.738449937927994
figure_5a,consistent_no_tail,9,0,900042,33,x3_route,x3,route,0,4.839067170035448
figure_5a,consistent_no_tail,9,0,900042,34,x3_route,x3,route,0,4.939768898583251
figure_5a,consistent_no_tail,9,0,900042,35,x3_route,x3,route,0,5.040651370038119
figure_5a,consistent_no_tail,9,0,900042,36,x3_route,x3,route,0,5.1417985789974185
figure_5a,consistent_no_tail,9,0,900042,37,x3_route,x3,route,0,5.243282723256538
figure_5a,consistent_no_tail,9,0,900042,38,x3_route,x3,route,0,5.34516477540398
figure_5a,consistent_no_tail,9,0,900042,39,x3_route,x3,route,0,5.44749514155217
