activated_factor,q_message_value
f1012,1396487.735525
f1015,1121106.652959
f111,1349074.684938
f1112,1476429.941963
f1115,1201048.859397
f112,1605855.863311
f114,1212868.009097
f115,1330474.780744
f118,1350330.488754
f1213,1437713.771381
f1214,1340223.266123
f1217,1380163.460796
f1218,1477685.745780
f1219,1136961.095953
f13,1458457.343443
f1314,1044725.917167
f1317,1084666.111841
f1318,1182188.396824
f1320,941523.965395
f1415,1064842.183556
f15,1060997.439044
f1516,886145.370529
f1517,1104782.378230
f1620,665336.647109
f1819,881435.721397
f1820,981495.939794
f19,1427138.090356
f210,919958.533080
f211,999900.739518
f23,1109283.898015
f27,811071.160541
f311,1329031.922087
f312,1585813.100460
f313,1290315.751504
f318,1330287.725904
f38,992230.276466
f39,1407095.327505
f417,895697.531177
f418,993219.816161
f47,803134.433367
f49,1070027.417762
f515,912971.613503
f56,810830.504228
f610,1018965.543683
f611,1098907.750121
f612,1355688.928495
f616,784004.261253
f67,910078.171144
f715,1012219.280420
f79,1108882.590031
f810,802904.911531
f816,567943.629101
f910,1217769.962571
f912,1554493.347382
f917,1201445.687842
f920,1058303.541396
