activated_factor,BPEngine,DampingEngine,BPEngine_normalized,DampingEngine_normalized,ratio
f1012,4.02991e+19,8.95251e+07,0.556548,0.510416,2.22152e-12
f1015,1.21784e+19,8.11496e+07,0.168129,0.423834,6.66338e-12
f111,6.53758e+18,8.55783e+07,0.0902144,0.469616,1.30902e-11
f1112,2.30963e+19,1.07048e+08,0.318933,0.691562,4.63486e-12
f1115,2.09572e+19,7.72596e+07,0.289386,0.383621,3.68655e-12
f112,7.31138e+18,1.12709e+08,0.100903,0.75008,1.54156e-11
f114,1.19787e+19,8.11037e+07,0.165371,0.42336,6.77063e-12
f115,9.15543e+18,1.17561e+08,0.126374,0.800238,1.28406e-11
f118,3.94204e+19,1.08084e+08,0.544411,0.702271,2.74183e-12
f1213,1.4733e+19,1.04267e+08,0.203414,0.662809,7.07711e-12
f1214,1.95056e+19,7.77261e+07,0.269336,0.388443,3.98482e-12
f1217,8.5128e+18,9.22825e+07,0.117497,0.538921,1.08404e-11
f1218,6.58806e+18,6.62447e+07,0.0909117,0.269754,1.00553e-11
f1219,4.66179e+19,6.14526e+07,0.643828,0.220216,1.31822e-12
f13,2.4491e+19,1.20049e+08,0.338198,0.825958,4.90176e-12
f1314,5.87712e+18,8.9656e+07,0.0810918,0.51177,1.52551e-11
f1317,4.75665e+19,9.46286e+07,0.65693,0.563174,1.9894e-12
f1318,5.98301e+18,9.0569e+07,0.0825543,0.521207,1.51377e-11
f1320,3.42618e+17,7.43396e+07,0.00464588,0.353436,2.16975e-10
f1415,7.29655e+18,9.61969e+07,0.100698,0.579386,1.31839e-11
f15,1.53926e+19,8.75536e+07,0.212526,0.490036,5.68802e-12
f1516,9.37203e+18,6.3795e+07,0.129365,0.24443,6.80695e-12
f1517,1.48275e+19,7.42255e+07,0.204719,0.352256,5.00595e-12
f1620,4.80474e+19,4.015e+07,0.663572,0,8.35635e-13
f1819,3.59497e+19,4.82197e+07,0.496472,0.0834201,1.34131e-12
f1820,5.93697e+19,7.73472e+07,0.819962,0.384526,1.30281e-12
f19,6.26709e+15,9.86705e+07,0,0.604957,1.57442e-08
f210,1.42605e+19,4.27531e+07,0.196888,0.0269087,2.998e-12
f211,3.23204e+19,7.50216e+07,0.446342,0.360485,2.32118e-12
f23,4.24324e+19,1.05875e+08,0.586014,0.679432,2.49514e-12
f27,7.2404e+19,5.98938e+07,1,0.204102,8.27217e-13
f311,3.0229e+19,7.54827e+07,0.417454,0.365253,2.49703e-12
f312,3.09248e+19,8.34184e+07,0.427065,0.447288,2.69746e-12
f313,4.06401e+18,1.06434e+08,0.0560479,0.685208,2.61893e-11
f318,2.79909e+18,6.64e+07,0.0385761,0.27136,2.3722e-11
f38,3.12635e+19,8.85382e+07,0.431744,0.500214,2.832e-12
f39,1.00661e+19,1.36885e+08,0.138952,1,1.35986e-11
f417,2.7168e+19,5.7904e+07,0.375174,0.183532,2.13133e-12
f418,3.40688e+19,6.13144e+07,0.470491,0.218787,1.79973e-12
f47,1.00437e+19,5.15042e+07,0.138643,0.117373,5.12801e-12
f49,6.68435e+19,6.18364e+07,0.923196,0.224183,9.25092e-13
f515,2.55568e+19,8.42007e+07,0.352919,0.455375,3.29465e-12
f56,1.33322e+19,5.88443e+07,0.184066,0.193252,4.4137e-12
f610,2.01124e+19,8.06133e+07,0.277718,0.418291,4.00813e-12
f611,1.65739e+19,9.45806e+07,0.228842,0.562677,5.70659e-12
f612,5.20977e+19,1.03488e+08,0.719517,0.65476,1.98643e-12
f616,3.4833e+19,5.63767e+07,0.481047,0.167743,1.61849e-12
f67,3.84069e+19,6.36787e+07,0.530412,0.243229,1.658e-12
f715,5.53948e+19,9.05729e+07,0.765059,0.521248,1.63504e-12
f79,7.78728e+18,9.97256e+07,0.107476,0.615865,1.28062e-11
f810,2.28062e+18,4.65609e+07,0.0314147,0.0662722,2.04159e-11
f816,4.39846e+19,4.48212e+07,0.607454,0.0482879,1.01902e-12
f910,1.92496e+19,6.11562e+07,0.265801,0.217152,3.17701e-12
f912,2.36979e+19,1.08172e+08,0.327244,0.703181,4.56462e-12
f917,4.27835e+19,1.05963e+08,0.590864,0.680346,2.47673e-12
f920,6.39224e+18,6.32274e+07,0.0882069,0.238563,9.89127e-12
