variant_idx,pct_random,engine,iteration,cost
10,99,DampingEngine,0,80182.0
10,99,DampingEngine,1,79211.0
10,99,DampingEngine,2,78453.0
10,99,DampingEngine,3,77438.0
10,99,DampingEngine,4,77706.0
10,99,DampingEngine,5,77876.0
10,99,DampingEngine,6,76573.0
10,99,DampingEngine,7,76807.0
10,99,DampingEngine,8,76392.0
10,99,DampingEngine,9,75948.0
10,99,DampingEngine,10,76011.0
10,99,DampingEngine,11,76468.0
10,99,DampingEngine,12,76440.0
10,99,DampingEngine,13,76921.0
10,99,DampingEngine,14,76689.0
10,99,DampingEngine,15,76578.0
10,99,DampingEngine,16,76663.0
10,99,DampingEngine,17,76008.0
10,99,DampingEngine,18,76172.0
10,99,DampingEngine,19,76448.0
10,99,DampingEngine,20,76979.0
10,99,DampingEngine,21,76905.0
10,99,DampingEngine,22,76986.0
10,99,DampingEngine,23,77650.0
10,99,DampingEngine,24,77059.0
10,99,DampingEngine,25,76548.0
10,99,DampingEngine,26,76155.0
10,99,DampingEngine,27,76289.0
10,99,DampingEngine,28,75993.0
10,99,DampingEngine,29,75662.0
10,99,DampingEngine,30,75662.0
10,99,DampingEngine,31,75544.0
10,99,DampingEngine,32,75352.0
10,99,DampingEngine,33,75156.0
10,99,DampingEngine,34,75216.0
10,99,DampingEngine,35,75216.0
10,99,DampingEngine,36,75649.0
10,99,DampingEngine,37,75788.0
10,99,DampingEngine,38,75779.0
10,99,DampingEngine,39,75659.0
10,99,DampingEngine,40,76048.0
10,99,DampingEngine,41,76318.0
10,99,DampingEngine,42,77044.0
10,99,DampingEngine,43,77365.0
10,99,DampingEngine,44,78309.0
10,99,DampingEngine,45,77816.0
10,99,DampingEngine,46,78221.0
10,99,DampingEngine,47,77984.0
10,99,DampingEngine,48,78198.0
10,99,DampingEngine,49,78666.0
10,99,DampingEngine,50,78144.0
10,99,DampingEngine,51,77667.0
10,99,DampingEngine,52,77898.0
10,99,DampingEngine,53,77988.0
10,99,DampingEngine,54,77544.0
10,99,DampingEngine,55,77484.0
10,99,DampingEngine,56,77848.0
10,99,DampingEngine,57,78826.0
10,99,DampingEngine,58,77176.0
10,99,DampingEngine,59,76606.0
10,99,DampingEngine,60,76133.0
10,99,DampingEngine,61,77359.0
10,99,DampingEngine,62,76999.0
10,99,DampingEngine,63,76811.0
10,99,DampingEngine,64,76172.0
10,99,DampingEngine,65,76148.0
10,99,DampingEngine,66,76225.0
10,99,DampingEngine,67,76056.0
10,99,DampingEngine,68,75941.0
10,99,DampingEngine,69,76095.0
10,99,DampingEngine,70,76179.0
10,99,DampingEngine,71,76233.0
10,99,DampingEngine,72,76161.0
10,99,DampingEngine,73,76293.0
10,99,DampingEngine,74,75932.0
10,99,DampingEngine,75,75932.0
10,99,DampingEngine,76,75927.0
10,99,DampingEngine,77,75894.0
10,99,DampingEngine,78,76492.0
10,99,DampingEngine,79,76431.0
10,99,DampingEngine,80,76199.0
10,99,DampingEngine,81,75654.0
10,99,DampingEngine,82,75654.0
10,99,DampingEngine,83,75483.0
10,99,DampingEngine,84,75475.0
10,99,DampingEngine,85,75513.0
10,99,DampingEngine,86,75513.0
10,99,DampingEngine,87,75443.0
10,99,DampingEngine,88,75443.0
10,99,DampingEngine,89,75577.0
10,99,DampingEngine,90,75577.0
10,99,DampingEngine,91,75919.0
10,99,DampingEngine,92,75919.0
10,99,DampingEngine,93,75919.0
10,99,DampingEngine,94,75989.0
10,99,DampingEngine,95,75989.0
10,99,DampingEngine,96,75989.0
10,99,DampingEngine,97,75989.0
10,99,DampingEngine,98,76137.0
10,99,DampingEngine,99,75904.0
10,99,DampingEngine,100,75808.0
10,99,DampingEngine,101,75841.0
10,99,DampingEngine,102,77210.0
10,99,DampingEngine,103,77425.0
10,99,DampingEngine,104,77543.0
10,99,DampingEngine,105,77350.0
10,99,DampingEngine,106,77887.0
10,99,DampingEngine,107,78258.0
10,99,DampingEngine,108,78515.0
10,99,DampingEngine,109,78496.0
10,99,DampingEngine,110,79245.0
10,99,DampingEngine,111,78336.0
10,99,DampingEngine,112,78768.0
10,99,DampingEngine,113,79001.0
10,99,DampingEngine,114,79125.0
10,99,DampingEngine,115,77490.0
10,99,DampingEngine,116,77160.0
10,99,DampingEngine,117,76985.0
10,99,DampingEngine,118,76834.0
10,99,DampingEngine,119,76922.0
10,99,DampingEngine,120,76292.0
10,99,DampingEngine,121,76317.0
10,99,DampingEngine,122,76769.0
10,99,DampingEngine,123,76769.0
10,99,DampingEngine,124,76376.0
10,99,DampingEngine,125,77126.0
10,99,DampingEngine,126,76717.0
10,99,DampingEngine,127,76250.0
10,99,DampingEngine,128,76229.0
10,99,DampingEngine,129,76417.0
10,99,DampingEngine,130,76474.0
10,99,DampingEngine,131,76133.0
10,99,DampingEngine,132,76170.0
10,99,DampingEngine,133,76593.0
10,99,DampingEngine,134,76657.0
10,99,DampingEngine,135,76169.0
10,99,DampingEngine,136,76389.0
10,99,DampingEngine,137,76269.0
10,99,DampingEngine,138,76505.0
10,99,DampingEngine,139,76604.0
10,99,DampingEngine,140,76995.0
10,99,DampingEngine,141,76880.0
10,99,DampingEngine,142,76878.0
10,99,DampingEngine,143,76928.0
10,99,DampingEngine,144,75534.0
10,99,DampingEngine,145,76020.0
10,99,DampingEngine,146,75991.0
10,99,DampingEngine,147,75652.0
10,99,DampingEngine,148,75449.0
10,99,DampingEngine,149,75761.0
10,99,DampingEngine,150,75761.0
10,99,DampingEngine,151,75754.0
10,99,DampingEngine,152,75867.0
10,99,DampingEngine,153,75892.0
10,99,DampingEngine,154,75892.0
10,99,DampingEngine,155,75892.0
10,99,DampingEngine,156,75884.0
10,99,DampingEngine,157,76025.0
10,99,DampingEngine,158,76025.0
10,99,DampingEngine,159,76025.0
10,99,DampingEngine,160,75924.0
